Code,CPT/HCPCS,Description,Revenue Code,Unit Price,Cash Price,Min Allowable,Max Allowable
26000012,96377,HC APPL ON-BODY INJECTOR FOR TIMED SUBQ INJECTION,0260,$113.00,$56.50,$62.26,$101.70
26000010,96376,HC THER PROPH/DX NJX EA SEQL IV PUSH SBST/DRUG FAC (CPT 96376),0260,$114.00,$57.00,$62.81,$102.60
26000010,96376,HC THER PROPH/DX NJX EA SEQL IV PUSH SBST/DRUG FAC (CPT 96376),0260,$132.00,$66.00,$72.73,$118.80
26000007,96372,HC THERAPEUTIC PROPHYLACTIC/DX INJECTION SUBQ/IM (CPT 96372),0260,$179.00,$89.50,$98.63,$161.10
26000007,96372,HC THERAPEUTIC PROPHYLACTIC/DX INJECTION SUBQ/IM (CPT 96372),0260,$179.00,$89.50,$98.63,$161.10
26000009,96375,HC THERAPEUTIC INJECTION IV PUSH EACH NEW DRUG (CPT 96375),0260,$179.00,$89.50,$98.63,$161.10
26000007,96372,HC THERAPEUTIC PROPHYLACTIC/DX INJECTION SUBQ/IM (CPT 96372),0260,$206.00,$103.00,$113.51,$185.40
26000009,96375,HC THERAPEUTIC INJECTION IV PUSH EACH NEW DRUG (CPT 96375),0260,$206.00,$103.00,$113.51,$185.40
26000007,96372,HC THERAPEUTIC PROPHYLACTIC/DX INJECTION SUBQ/IM (CPT 96372),0260,$210.00,$105.00,$115.71,$189.00
26000011,96523,HC IRRIGAJ IMPLNTD VENOUS ACCESS DRUG DELIVERY SYST,0260,$241.00,$120.50,$132.79,$216.90
26000002,96361,HC IV INFUSION HYDRATION EACH ADDITIONAL HOUR (CPT 96361),0260,$262.00,$131.00,$144.36,$235.80
26000004,96366,HC IV INFUSION THERAPY PROPHYLAXIS/DX EA HOUR (CPT 96366),0260,$262.00,$131.00,$144.36,$235.80
26000008,96374,HC THER PROPH/DX NJX IV PUSH SINGLE/1ST SBST/DRUG (CPT 96374),0260,$265.00,$132.50,$146.02,$238.50
26000010,96376,HC THER PROPH/DX NJX EA SEQL IV PUSH SBST/DRUG FAC (CPT 96376),0260,$273.00,$136.50,$150.42,$245.70
26000009,96375,HC THERAPEUTIC INJECTION IV PUSH EACH NEW DRUG (CPT 96375),0260,$300.00,$150.00,$165.30,$270.00
26000008,96374,HC THER PROPH/DX NJX IV PUSH SINGLE/1ST SBST/DRUG (CPT 96374),0260,$305.00,$152.50,$168.06,$274.50
26000002,96361,HC IV INFUSION HYDRATION EACH ADDITIONAL HOUR (CPT 96361),0260,$318.00,$159.00,$175.22,$286.20
26000004,96366,HC IV INFUSION THERAPY PROPHYLAXIS/DX EA HOUR (CPT 96366),0260,$318.00,$159.00,$175.22,$286.20
26000006,96368,HC IV NFS THERAPY PROPHYLAXIS/DX CONCURRENT NFS (CPT 96368),0260,$318.00,$159.00,$175.22,$286.20
26000002,96361,HC IV INFUSION HYDRATION EACH ADDITIONAL HOUR (CPT 96361),0260,$318.00,$159.00,$175.22,$286.20
26000004,96366,HC IV INFUSION THERAPY PROPHYLAXIS/DX EA HOUR (CPT 96366),0260,$318.00,$159.00,$175.22,$286.20
26000005,96367,HC IV INFUSION THER PROPH ADDL SEQUENTIAL TO 1 HR (CPT 96367),0260,$318.00,$159.00,$175.22,$286.20
26000006,96368,HC IV NFS THERAPY PROPHYLAXIS/DX CONCURRENT NFS (CPT 96368),0260,$318.00,$159.00,$175.22,$286.20
26000005,96367,HC IV INFUSION THER PROPH ADDL SEQUENTIAL TO 1 HR (CPT 96367),0260,$318.00,$159.00,$175.22,$286.20
26000005,96367,HC IV INFUSION THER PROPH ADDL SEQUENTIAL TO 1 HR (CPT 96367),0260,$340.00,$170.00,$187.34,$306.00
26000008,96374,HC THER PROPH/DX NJX IV PUSH SINGLE/1ST SBST/DRUG (CPT 96374),0260,$373.00,$186.50,$205.52,$335.70
26000001,96360,HC IV INFUSION HYDRATION INITIAL 31 MIN-1 HOUR (CPT 96360),0260,$448.00,$224.00,$246.85,$403.20
26000004,96366,HC IV INFUSION THERAPY PROPHYLAXIS/DX EA HOUR (CPT 96366),0260,$486.00,$243.00,$267.79,$437.40
26000003,96365,HC IV INFUSION THERAPY/PROPHYLAXIS /DX 1ST TO 1 HR (CPT 96365),0260,$585.00,$292.50,$322.34,$526.50
26000003,96365,HC IV INFUSION THERAPY/PROPHYLAXIS /DX 1ST TO 1 HR (CPT 96365),0260,$585.00,$292.50,$322.34,$526.50
26000001,96360,HC IV INFUSION HYDRATION INITIAL 31 MIN-1 HOUR (CPT 96360),0260,$617.00,$308.50,$339.97,$555.30
26000001,96360,HC IV INFUSION HYDRATION INITIAL 31 MIN-1 HOUR (CPT 96360),0260,$617.00,$308.50,$339.97,$555.30
26000003,96365,HC IV INFUSION THERAPY/PROPHYLAXIS /DX 1ST TO 1 HR (CPT 96365),0260,$695.00,$347.50,$382.95,$625.50
26000003,96365,HC IV INFUSION THERAPY/PROPHYLAXIS /DX 1ST TO 1 HR (CPT 96365),0260,$743.00,$371.50,$409.39,$668.70
30000001,36000,HC INTRODUCTION NEEDLE/INTRACATHETER VEIN,0300,$19.00,$9.50,$10.47,$17.10
30000002,36410,HC VNPNXR 3 YEARS/> PHYS/QHP SKILL,0300,$19.00,$9.50,$10.47,$17.10
30000950,G2023,HC SPECIMEN COLLECTION COVID-19 ANY SOURCE,0300,$19.00,$9.50,$10.47,$17.10
30000950,G2023,HC SPECIMEN COLLECTION COVID-19 ANY SOURCE,0300,$19.00,$9.50,$10.47,$17.10
30000001,36000,HC INTRODUCTION NEEDLE/INTRACATHETER VEIN,0300,$19.00,$9.50,$10.47,$17.10
30000002,36410,HC VNPNXR 3 YEARS/> PHYS/QHP SKILL,0300,$19.00,$9.50,$10.47,$17.10
30000003,36415,HC COLLECTION VENOUS BLOOD VENIPUNCTURE,0300,$22.00,$11.00,$12.12,$19.80
30000003,36415,HC COLLECTION VENOUS BLOOD VENIPUNCTURE,0300,$22.00,$11.00,$12.12,$19.80
30000569,81099,HC UNLISTED URINALYSIS PROCEDURE,0300,$24.00,$12.00,$13.22,$21.60
30000908,36415,HC COLLECTION VENOUS BLOOD VENIPUNCTURE SLED,0300,$24.00,$12.00,$13.22,$21.60
30000909,99001,HC COLLECTION URINE SLED,0300,$24.00,$12.00,$13.22,$21.60
30000908,36415,HC COLLECTION VENOUS BLOOD VENIPUNCTURE SLED,0300,$24.00,$12.00,$13.22,$21.60
30000909,99001,HC COLLECTION URINE SLED,0300,$24.00,$12.00,$13.22,$21.60
30000003,36415,HC COLLECTION VENOUS BLOOD VENIPUNCTURE,0300,$25.00,$12.50,$13.78,$22.50
30000003,36415,HC COLLECTION VENOUS BLOOD VENIPUNCTURE,0300,$26.00,$13.00,$14.33,$23.40
30000309,85041,HC BLOOD COUNT RED BLOOD CELL AUTOMATED,0300,$27.00,$13.50,$14.88,$24.30
30000428,86713,HC ANTIBODY LEGIONELLA,0300,$31.00,$15.50,$17.08,$27.90
30000987,84460,HC TRANSFERASE ALANINE AMINO ALT SGPT,0300,$31.00,$15.50,$17.08,$27.90
30000428,86713,HC ANTIBODY LEGIONELLA,0300,$31.00,$15.50,$17.08,$27.90
30000987,84460,HC TRANSFERASE ALANINE AMINO ALT SGPT,0300,$31.00,$15.50,$17.08,$27.90
30000654,84295,HC SODIUM SERUM PLASMA OR WHOLE BLOOD,0300,$32.00,$16.00,$17.63,$28.80
30000655,84295,HC SODIUM SERUM PLASMA OR WHOLE BLOOD,0300,$32.00,$16.00,$17.63,$28.80
30000103,82274,HC BLOOD OCCULT FECAL HGB DETER IA QUAL FECES 1-3,0300,$33.00,$16.50,$18.18,$29.70
30000126,36415,HC COLLECTION VENOUS BLOOD VENIPUNCTURE D25 PATERNITY,0300,$33.00,$16.50,$18.18,$29.70
30000103,82274,HC BLOOD OCCULT FECAL HGB DETER IA QUAL FECES 1-3,0300,$33.00,$16.50,$18.18,$29.70
30000126,36415,HC COLLECTION VENOUS BLOOD VENIPUNCTURE D25 PATERNITY,0300,$33.00,$16.50,$18.18,$29.70
30000247,84155,HC PROTEIN XCPT REFRACTOMETRY SERUM PLASMA/WHL BLD,0300,$35.00,$17.50,$19.29,$31.50
30000665,85730,HC THROMBOPLASTIN TIME PARTIAL PLASMA/WHOLE BLOOD,0300,$35.00,$17.50,$19.29,$31.50
30000850,36415,HC COLLECTION VENOUS BLOOD VENIPUNCTURE (COLLECT & HOLD),0300,$35.00,$17.50,$19.29,$31.50
30000052,81002,HC URNLS DIP STICK/TABLET RGNT NON-AUTO W/O MICRSCP,0300,$37.00,$18.50,$20.39,$33.30
30000872,81050,HC VOLUME MEASUREMENT TIMED COLLECTION EACH,0300,$37.00,$18.50,$20.39,$33.30
30000052,81002,HC URNLS DIP STICK/TABLET RGNT NON-AUTO W/O MICRSCP,0300,$37.00,$18.50,$20.39,$33.30
30000872,81050,HC VOLUME MEASUREMENT TIMED COLLECTION EACH,0300,$37.00,$18.50,$20.39,$33.30
30000570,96160,HC ADMN & INTERPJ HEALTH RISK ASSESSMENT INSTRUMENT,0300,$38.00,$19.00,$20.94,$34.20
30000076,82044,HC ALBUMIN URINE MICROALBUMIN SEMIQUANTITATIVE,0300,$38.00,$19.00,$20.94,$34.20
30000570,96160,HC ADMN & INTERPJ HEALTH RISK ASSESSMENT INSTRUMENT,0300,$38.00,$19.00,$20.94,$34.20
30000981,82247,HC BILIRUBIN TOTAL,0300,$40.00,$20.00,$22.04,$36.00
30000988,84450,HC TRANSFERASE ASPARTATE AMINO AST SGOT,0300,$40.00,$20.00,$22.04,$36.00
30000981,82247,HC BILIRUBIN TOTAL,0300,$40.00,$20.00,$22.04,$36.00
30000988,84450,HC TRANSFERASE ASPARTATE AMINO AST SGOT,0300,$40.00,$20.00,$22.04,$36.00
30000592,81001,HC URNLS DIP STICK/TABLET REAGENT AUTO MICROSCOPY,0300,$41.00,$20.50,$22.59,$36.90
30000593,81001,HC URNLS DIP STICK/TABLET REAGENT AUTO MICROSCOPY,0300,$41.00,$20.50,$22.59,$36.90
30000599,81003,HC URNLS DIP STICK/TABLET RGNT AUTO W/O MICROSCOPY,0300,$41.00,$20.50,$22.59,$36.90
30000601,81001,HC URNLS DIP STICK/TABLET RGNT AUTO W/O MICROSCOPY,0300,$41.00,$20.50,$22.59,$36.90
30000607,82340,HC CALCIUM URINE QUANTITATIVE TIMED SPECIMEN,0300,$43.00,$21.50,$23.69,$38.70
30000699,86880,HC ANTIHUMAN GLOBULIN DIRECT EACH ANTISERUM,0300,$43.00,$21.50,$23.69,$38.70
30000700,86880,HC ANTIHUMAN GLOBULIN DIRECT EACH ANTISERUM,0300,$43.00,$21.50,$23.69,$38.70
30000607,82340,HC CALCIUM URINE QUANTITATIVE TIMED SPECIMEN,0300,$43.00,$21.50,$23.69,$38.70
30000699,86880,HC ANTIHUMAN GLOBULIN DIRECT EACH ANTISERUM,0300,$43.00,$21.50,$23.69,$38.70
30000700,86880,HC ANTIHUMAN GLOBULIN DIRECT EACH ANTISERUM,0300,$43.00,$21.50,$23.69,$38.70
30000571,A9270,HC FEDERAL EXPRESS HANDLING,0300,$44.00,$22.00,$24.24,$39.60
30000571,A9270,HC FEDERAL EXPRESS HANDLING,0300,$44.00,$22.00,$24.24,$39.60
30000984,82977,HC ASSAY OF GLUTAMYLTRASE GAMMA,0300,$45.00,$22.50,$24.80,$40.50
30000984,82977,HC ASSAY OF GLUTAMYLTRASE GAMMA,0300,$45.00,$22.50,$24.80,$40.50
30000926,83540,HC ASSAY OF IRON,0300,$46.00,$23.00,$25.35,$41.40
30000982,82465,HC CHOLESTEROL SERUM/WHOLE BLOOD TOTAL,0300,$46.00,$23.00,$25.35,$41.40
30000995,99199,HC MRO REVIEW (CLIENT BILL ONLY),0300,$46.00,$23.00,$25.35,$41.40
30000926,83540,HC ASSAY OF IRON,0300,$46.00,$23.00,$25.35,$41.40
30000982,82465,HC CHOLESTEROL SERUM/WHOLE BLOOD TOTAL,0300,$46.00,$23.00,$25.35,$41.40
30000995,99199,HC MRO REVIEW (CLIENT BILL ONLY),0300,$46.00,$23.00,$25.35,$41.40
30000298,84620,HC XYLOSE ABSORPTION TEST BLOOD &/URINE,0300,$47.00,$23.50,$25.90,$42.30
30000296,84590,HC ASSAY OF VITAMIN A,0300,$47.00,$23.50,$25.90,$42.30
30000298,84620,HC XYLOSE ABSORPTION TEST BLOOD &/URINE,0300,$47.00,$23.50,$25.90,$42.30
30000075,82043,HC ALBUMIN URINE MICROALBUMIN QUANTIATIVE,0300,$48.00,$24.00,$26.45,$43.20
30000175,82948,HC GLUCOSE BLOOD REAGENT STRIP,0300,$49.00,$24.50,$27.00,$44.10
30000611,82397,HC CHEMILUMINESCENT ASSAY,0300,$49.00,$24.50,$27.00,$44.10
30000612,82397,HC CHEMILUMINESCENT ASSAY,0300,$49.00,$24.50,$27.00,$44.10
30000613,82397,HC CHEMILUMINESCENT ASSAY,0300,$49.00,$24.50,$27.00,$44.10
30000689,86592,HC SYPHILIS TEST NON-TREPONEMAL ANTIBODY QUAL,0300,$49.00,$24.50,$27.00,$44.10
30000611,82397,HC CHEMILUMINESCENT ASSAY,0300,$49.00,$24.50,$27.00,$44.10
30000612,82397,HC CHEMILUMINESCENT ASSAY,0300,$49.00,$24.50,$27.00,$44.10
30000613,82397,HC CHEMILUMINESCENT ASSAY,0300,$49.00,$24.50,$27.00,$44.10
30000689,86592,HC SYPHILIS TEST NON-TREPONEMAL ANTIBODY QUAL,0300,$49.00,$24.50,$27.00,$44.10
30000024,80168,HC DRUG SCREEN QUANTITATIVE ETHOSUXIMIDE,0300,$50.00,$25.00,$27.55,$45.00
30000688,86431,HC RHEUMATOID FACTOR QUANTITATIVE,0300,$52.00,$26.00,$28.65,$46.80
30000188,83013,HC HPYLORI BREATH ANAL UREASE ACT NON-RADACT ISTOPE,0300,$54.00,$27.00,$29.75,$48.60
30000653,84295,HC SODIUM SERUM PLASMA OR WHOLE BLOOD,0300,$54.00,$27.00,$29.75,$48.60
30000775,87532,HC IADNA HERPES VIRUS-6 AMPLIFIED PROBE TQ,0300,$54.00,$27.00,$29.75,$48.60
30000188,83013,HC HPYLORI BREATH ANAL UREASE ACT NON-RADACT ISTOPE,0300,$54.00,$27.00,$29.75,$48.60
30000653,84295,HC SODIUM SERUM PLASMA OR WHOLE BLOOD,0300,$54.00,$27.00,$29.75,$48.60
30000296,84590,HC ASSAY OF VITAMIN A,0300,$55.00,$27.50,$30.31,$49.50
30000986,84478,HC ASSAY OF TRIGLYCERIDES,0300,$55.00,$27.50,$30.31,$49.50
30000996,82172,HC APOLIPOPROTEIN EACH,0300,$55.00,$27.50,$30.31,$49.50
30000033,80183,HC DRUG SCREEN QUANTITATIVE OXCARBAZEPINE,0300,$55.00,$27.50,$30.31,$49.50
30000986,84478,HC ASSAY OF TRIGLYCERIDES,0300,$55.00,$27.50,$30.31,$49.50
30000996,82172,HC APOLIPOPROTEIN EACH,0300,$55.00,$27.50,$30.31,$49.50
30000850,36415,HC COLLECTION VENOUS BLOOD VENIPUNCTURE (COLLECT & HOLD),0300,$57.00,$28.50,$31.41,$51.30
30000870,36415,HC COLLECT-HOLD FOR XMATCH,0300,$57.00,$28.50,$31.41,$51.30
30000871,36415,HC CORD BLOOD COLLECT & HOLD,0300,$57.00,$28.50,$31.41,$51.30
30000870,36415,HC COLLECT-HOLD FOR XMATCH,0300,$57.00,$28.50,$31.41,$51.30
30000871,36415,HC CORD BLOOD COLLECT & HOLD,0300,$57.00,$28.50,$31.41,$51.30
30000343,85610,HC PROTHROMBIN TIME,0300,$58.00,$29.00,$31.96,$52.20
30000343,85610,HC PROTHROMBIN TIME,0300,$58.00,$29.00,$31.96,$52.20
30000688,86431,HC RHEUMATOID FACTOR QUANTITATIVE,0300,$60.00,$30.00,$33.06,$54.00
30000033,80183,HC DRUG SCREEN QUANTITATIVE OXCARBAZEPINE,0300,$64.00,$32.00,$35.26,$57.60
30000992,83986,HC PH BODY FLUID NOT ELSEWHERE SPECIFIED,0300,$64.00,$32.00,$35.26,$57.60
30000883,85598,HC PHOSPHOLIPID NEUTRALIZATION HEXAGONAL,0300,$64.00,$32.00,$35.26,$57.60
30000992,83986,HC PH BODY FLUID NOT ELSEWHERE SPECIFIED,0300,$64.00,$32.00,$35.26,$57.60
30000398,86609,HC ANTIBODY BACTERIUM NOT ELSEWHERE SPECIFIED,0300,$65.00,$32.50,$35.82,$58.50
30000398,86609,HC ANTIBODY BACTERIUM NOT ELSEWHERE SPECIFIED,0300,$65.00,$32.50,$35.82,$58.50
30000556,88363,HC EXAM & SELECT ARCHIVE TISSUE MOLECULAR ANALYSI,0300,$66.00,$33.00,$36.37,$59.40
30000556,88363,HC EXAM & SELECT ARCHIVE TISSUE MOLECULAR ANALYSI,0300,$66.00,$33.00,$36.37,$59.40
30000769,82150,HC ASSAY OF AMYLASE,0300,$67.00,$33.50,$36.92,$60.30
30000770,82150,HC ASSAY OF AMYLASE,0300,$67.00,$33.50,$36.92,$60.30
30000769,82150,HC ASSAY OF AMYLASE,0300,$67.00,$33.50,$36.92,$60.30
30000770,82150,HC ASSAY OF AMYLASE,0300,$67.00,$33.50,$36.92,$60.30
30000774,87581,HC IADNA MYCOPLSM PNEUMONIAE AMPLIFIED PROBE TQ,0300,$68.00,$34.00,$37.47,$61.20
30000010,80048,HC BASIC METABOLIC PANEL CALCIUM TOTAL,0300,$68.00,$34.00,$37.47,$61.20
30000862,87798,HC IADNA NOS AMPLIFIED PROBE TQ EACH ORGANISM,0300,$68.00,$34.00,$37.47,$61.20
30000460,86927,HC FRESH FROZEN PLASMA THAWING EACH UNIT,0300,$69.00,$34.50,$38.02,$62.10
30000466,86985,HC SPLITTING BLOOD/BLOOD PRODUCTS EACH UNIT,0300,$69.00,$34.50,$38.02,$62.10
30000584,80346,HC BENZO 1-12; CONFIRMATN,0300,$69.00,$34.50,$38.02,$62.10
30000644,83735,HC ASSAY OF MAGNESIUM,0300,$69.00,$34.50,$38.02,$62.10
30000460,86927,HC FRESH FROZEN PLASMA THAWING EACH UNIT,0300,$69.00,$34.50,$38.02,$62.10
30000466,86985,HC SPLITTING BLOOD/BLOOD PRODUCTS EACH UNIT,0300,$69.00,$34.50,$38.02,$62.10
30000644,83735,HC ASSAY OF MAGNESIUM,0300,$69.00,$34.50,$38.02,$62.10
30000538,87804,HC IAADIADOO INFLUENZA,0300,$70.00,$35.00,$38.57,$63.00
30000101,82271,HC BLOOD OCCULT PEROXIDASE ACTV QUAL OTHER SOURCES,0300,$71.00,$35.50,$39.12,$63.90
30000218,83873,HC MYELIN BASIC PROTEIN CEREBROSPINAL FLUID,0300,$72.00,$36.00,$39.67,$64.80
30000218,83873,HC MYELIN BASIC PROTEIN CEREBROSPINAL FLUID,0300,$72.00,$36.00,$39.67,$64.80
30000980,86769,HC ANTB SEVERE AQT RESPIR SYND SARS-COV-2 COVID-19,0300,$72.00,$36.00,$39.67,$64.80
30000290,84545,HC UREA NITROGEN CLEARANCE,0300,$73.00,$36.50,$40.22,$65.70
30000594,81003,HC URNLS DIP STICK/TABLET RGNT AUTO W/O MICROSCOPY,0300,$73.00,$36.50,$40.22,$65.70
30000595,81003,HC URNLS DIP STICK/TABLET RGNT AUTO W/O MICROSCOPY,0300,$73.00,$36.50,$40.22,$65.70
30000290,84545,HC UREA NITROGEN CLEARANCE,0300,$73.00,$36.50,$40.22,$65.70
30000311,85046,HC BLOOD COUNT RETICULOCYTES AUTO 1/> CELL MEAS,0300,$73.00,$36.50,$40.22,$65.70
30000594,81003,HC URNLS DIP STICK/TABLET RGNT AUTO W/O MICROSCOPY,0300,$73.00,$36.50,$40.22,$65.70
30000595,81003,HC URNLS DIP STICK/TABLET RGNT AUTO W/O MICROSCOPY,0300,$73.00,$36.50,$40.22,$65.70
30000883,85598,HC PHOSPHOLIPID NEUTRALIZATION HEXAGONAL,0300,$74.00,$37.00,$40.77,$66.60
30000598,81003,HC URNLS DIP STICK/TABLET RGNT AUTO W/O MICROSCOPY,0300,$74.00,$37.00,$40.77,$66.60
30000363,86157,HC COLD AGGLUTININ TITER,0300,$76.00,$38.00,$41.88,$68.40
30000596,81003,HC URNLS DIP STICK/TABLET RGNT AUTO W/O MICROSCOPY,0300,$76.00,$38.00,$41.88,$68.40
30000597,81003,HC URNLS DIP STICK/TABLET RGNT AUTO W/O MICROSCOPY,0300,$76.00,$38.00,$41.88,$68.40
30000363,86157,HC COLD AGGLUTININ TITER,0300,$76.00,$38.00,$41.88,$68.40
30000596,81003,HC URNLS DIP STICK/TABLET RGNT AUTO W/O MICROSCOPY,0300,$76.00,$38.00,$41.88,$68.40
30000597,81003,HC URNLS DIP STICK/TABLET RGNT AUTO W/O MICROSCOPY,0300,$76.00,$38.00,$41.88,$68.40
30000575,80305,HC DRUG SCREEN LIST A ANY NMBR NON TLC DEVICES,0300,$78.00,$39.00,$42.98,$70.20
30000985,83010,HC ASSAY OF HAPTOGLOBIN QUANTITATIVE,0300,$78.00,$39.00,$42.98,$70.20
30000575,80305,HC DRUG SCREEN LIST A ANY NMBR NON TLC DEVICES,0300,$78.00,$39.00,$42.98,$70.20
30000985,83010,HC ASSAY OF HAPTOGLOBIN QUANTITATIVE,0300,$78.00,$39.00,$42.98,$70.20
30000580,80324,HC AMPHETAMINES; 1 OR 2,0300,$79.00,$39.50,$43.53,$71.10
30000585,80353,HC COCAINE CONFIRMATION,0300,$79.00,$39.50,$43.53,$71.10
30000586,80361,HC OPIATES 1 OR MORE; CONFRM,0300,$79.00,$39.50,$43.53,$71.10
30000632,83520,HC IMMUNOASSAY ANALYTE QUANTITATIVE NOS,0300,$79.00,$39.50,$43.53,$71.10
30000634,83520,HC IMMUNOASSAY ANALYTE QUANTITATIVE NOS,0300,$79.00,$39.50,$43.53,$71.10
30000635,83520,HC IMMUNOASSAY ANALYTE QUANTITATIVE NOS,0300,$79.00,$39.50,$43.53,$71.10
30000636,83520,HC IMMUNOASSAY ANALYTE QUANTITATIVE NOS,0300,$79.00,$39.50,$43.53,$71.10
30000637,83520,HC IMMUNOASSAY ANALYTE QUANTITATIVE NOS,0300,$79.00,$39.50,$43.53,$71.10
30000638,83520,HC IMMUNOASSAY ANALYTE QUANTITATIVE NOS,0300,$79.00,$39.50,$43.53,$71.10
30000639,83520,HC IMMUNOASSAY ANALYTE QUANTITATIVE NOS,0300,$79.00,$39.50,$43.53,$71.10
30000640,83520,HC IMMUNOASSAY ANALYTE QUANTITATIVE NOS,0300,$79.00,$39.50,$43.53,$71.10
30000641,83520,HC IMMUNOASSAY ANALYTE QUANTITATIVE NOS,0300,$79.00,$39.50,$43.53,$71.10
30000773,87486,HC IADNA CHLAMYDIA PNEUMONIAE AMPLIFIED PROBE TQ,0300,$79.00,$39.50,$43.53,$71.10
30000862,87798,HC IADNA NOS AMPLIFIED PROBE TQ EACH ORGANISM,0300,$79.00,$39.50,$43.53,$71.10
30000632,83520,HC IMMUNOASSAY ANALYTE QUANTITATIVE NOS,0300,$79.00,$39.50,$43.53,$71.10
30000634,83520,HC IMMUNOASSAY ANALYTE QUANTITATIVE NOS,0300,$79.00,$39.50,$43.53,$71.10
30000635,83520,HC IMMUNOASSAY ANALYTE QUANTITATIVE NOS,0300,$79.00,$39.50,$43.53,$71.10
30000636,83520,HC IMMUNOASSAY ANALYTE QUANTITATIVE NOS,0300,$79.00,$39.50,$43.53,$71.10
30000637,83520,HC IMMUNOASSAY ANALYTE QUANTITATIVE NOS,0300,$79.00,$39.50,$43.53,$71.10
30000638,83520,HC IMMUNOASSAY ANALYTE QUANTITATIVE NOS,0300,$79.00,$39.50,$43.53,$71.10
30000639,83520,HC IMMUNOASSAY ANALYTE QUANTITATIVE NOS,0300,$79.00,$39.50,$43.53,$71.10
30000640,83520,HC IMMUNOASSAY ANALYTE QUANTITATIVE NOS,0300,$79.00,$39.50,$43.53,$71.10
30000641,83520,HC IMMUNOASSAY ANALYTE QUANTITATIVE NOS,0300,$79.00,$39.50,$43.53,$71.10
30000486,87169,HC MACROSCOPIC EXAMINATION PARASITE,0300,$80.00,$40.00,$44.08,$72.00
30000558,88720,HC BILIRUBIN TOTAL TRANSCUTANEOUS,0300,$80.00,$40.00,$44.08,$72.00
30000856,84430,HC ASSAY OF THIOCYANATE,0300,$80.00,$40.00,$44.08,$72.00
30000486,87169,HC MACROSCOPIC EXAMINATION PARASITE,0300,$80.00,$40.00,$44.08,$72.00
30000558,88720,HC BILIRUBIN TOTAL TRANSCUTANEOUS,0300,$80.00,$40.00,$44.08,$72.00
30000856,84430,HC ASSAY OF THIOCYANATE,0300,$80.00,$40.00,$44.08,$72.00
30000247,84155,HC PROTEIN XCPT REFRACTOMETRY SERUM PLASMA/WHL BLD,0300,$81.00,$40.50,$44.63,$72.90
30000309,85041,HC BLOOD COUNT RED BLOOD CELL AUTOMATED,0300,$81.00,$40.50,$44.63,$72.90
30000600,81003,HC URNLS DIP STICK/TABLET RGNT AUTO W/O MICROSCOPY,0300,$81.00,$40.50,$44.63,$72.90
30000614,82438,HC CHLORIDE OTHER SOURCE,0300,$81.00,$40.50,$44.63,$72.90
30000654,84295,HC SODIUM SERUM PLASMA OR WHOLE BLOOD,0300,$81.00,$40.50,$44.63,$72.90
30000655,84295,HC SODIUM SERUM PLASMA OR WHOLE BLOOD,0300,$81.00,$40.50,$44.63,$72.90
30000503,87340,HC IAAD IA HEPATITIS B SURFACE ANTIGEN,0300,$81.00,$40.50,$44.63,$72.90
30000508,87804,HC IAAD IA INFLUENZA A,0300,$81.00,$40.50,$44.63,$72.90
30000539,87880,HC IAADIADOO STREPTOCOCCUS GROUP A,0300,$81.00,$40.50,$44.63,$72.90
