Charge Code/Package,Gross Charges,Charge Description,Patient Type,Rev Code,Discounted Cash Price,De-Identified Minimum,De-Identified Maximum
Px02710000589_00000_100094_36,484,HC CIRCUIT VAPOTHERM,IP,271,314.6,169.4,484
Px02710000589_00000_100094_36,484,HC CIRCUIT VAPOTHERM,OP,271,314.6,169.4,484
Px02710000590_00000_100094_36,726.7,HC CIRCUIT VAPOTHERM NITRIC,IP,271,472.36,254.34,726.7
Px02710000590_00000_100094_36,726.7,HC CIRCUIT VAPOTHERM NITRIC,OP,271,472.36,254.34,726.7
Px02710000591_00000_100094_36,80.5,HC MS PRAFO BOOT PEDS,IP,271,52.33,28.17,80.5
Px02710000591_00000_100094_36,80.5,HC MS PRAFO BOOT PEDS,OP,271,52.33,28.17,80.5
Px02710000650_00000_100094_36,264.6,HC MS BAND AIRWAY CLEARANCE COMPRESSION,IP,271,171.99,92.61,264.6
Px02710000650_00000_100094_36,264.6,HC MS BAND AIRWAY CLEARANCE COMPRESSION,OP,271,171.99,92.61,264.6
Px02710000654_00000_100094_36,314.8,HC CIRCUIT AIRVO,IP,271,204.62,110.18,314.8
Px02710000654_00000_100094_36,314.8,HC CIRCUIT AIRVO,OP,271,204.62,110.18,314.8
Px02710000657_00000_100094_36,675,HC OXYGEN DAILY THERAPY,IP,271,438.75,236.25,675
Px02710000657_00000_100094_36,675,HC OXYGEN DAILY THERAPY,OP,271,438.75,236.25,675
Px02710000658_00000_100094_36,1593.6,HC ASCOPE LARGE RESP,IP,272,1035.84,557.76,1593.6
Px02710000658_00000_100094_36,1593.6,HC ASCOPE LARGE RESP,OP,272,1035.84,557.76,1593.6
Px02710000659_00000_100094_36,1302.6,HC SCOPE A4/REG RESP,IP,271,846.69,455.91,1302.6
Px02710000659_00000_100094_36,1302.6,HC SCOPE A4/REG RESP,OP,271,846.69,455.91,1302.6
Px02710000660_00000_100094_36,1268.8,HC ASCOPE SLIM RESP,IP,271,824.72,444.08,1268.8
Px02710000660_00000_100094_36,1268.8,HC ASCOPE SLIM RESP,OP,271,824.72,444.08,1268.8
Px02720000504_A7048_100094_36,270,HC SYSTEM DRAINAGE PLUEREVAC,IP,272,175.5,94.5,270
Px02720000504_A7048_100094_36,270,HC SYSTEM DRAINAGE PLUEREVAC,OP,272,175.5,94.5,270
Px02720000505_00000_100094_36,133.5,HC CATH BARTHOLIN WORD 10F 5CM,IP,272,86.78,46.72,133.5
Px02720000505_00000_100094_36,133.5,HC CATH BARTHOLIN WORD 10F 5CM,OP,272,86.78,46.72,133.5
Px02720000506_00000_100094_36,683,HC NEEDLE INTRAOSSEOUS EZIO,IP,272,443.95,239.05,683
Px02720000506_00000_100094_36,683,HC NEEDLE INTRAOSSEOUS EZIO,OP,272,443.95,239.05,683
Px02720000507_00000_100094_36,375.5,HC PACKING RAPID RHINO W/GEL,IP,272,244.08,131.42,375.5
Px02720000507_00000_100094_36,375.5,HC PACKING RAPID RHINO W/GEL,OP,272,244.08,131.42,375.5
Px02720000508_00000_100094_36,592,HC CATH EPISTAXIS,IP,272,384.8,207.2,592
Px02720000508_00000_100094_36,592,HC CATH EPISTAXIS,OP,272,384.8,207.2,592
Px02720000510_00000_100094_36,126.3,HC PLUG STOPPER TRACHEA DECAN,IP,272,82.1,44.2,126.3
Px02720000510_00000_100094_36,126.3,HC PLUG STOPPER TRACHEA DECAN,OP,272,82.1,44.2,126.3
Px02720000511_00000_100094_36,274,HC CANNULA INNER EXL BOX 10,IP,272,178.1,95.9,274
Px02720000511_00000_100094_36,274,HC CANNULA INNER EXL BOX 10,OP,272,178.1,95.9,274
Px02720000517_00000_100094_36,219.34,HC MS DRESSING VAC SIMPLACE 18 X 125CM 32CM THICK,IP,272,142.57,76.77,219.34
Px02720000517_00000_100094_36,219.34,HC MS DRESSING VAC SIMPLACE 18 X 125CM 32CM THICK,OP,272,142.57,76.77,219.34
Px02720000523_00000_100094_36,1007.1,HC TRAY URETHRAL OBSTRUCTION,IP,272,654.62,352.49,1007.1
Px02720000523_00000_100094_36,1007.1,HC TRAY URETHRAL OBSTRUCTION,OP,272,654.62,352.49,1007.1
Px02720000535_00000_100094_36,336.6,HC CATHETER EXCHANGE AIRWAY,IP,272,218.79,117.81,336.6
Px02720000535_00000_100094_36,336.6,HC CATHETER EXCHANGE AIRWAY,OP,272,218.79,117.81,336.6
Px02720000552_00000_100094_36,587.5,HC HEMOSTAT MICROFIBRILLAR AVITENE 1 GM,IP,272,381.88,205.63,587.5
Px02720000552_00000_100094_36,587.5,HC HEMOSTAT MICROFIBRILLAR AVITENE 1 GM,OP,272,381.88,205.63,587.5
Px02720000557_C1751_100094_36,115,HC KIT LINE ART 20GA X 5IN,IP,272,74.75,40.25,115
Px02720000557_C1751_100094_36,115,HC KIT LINE ART 20GA X 5IN,OP,272,74.75,40.25,115
Px02720000560_A4315_100094_36,158.2,HC CATH FOLEY TEMPSENSING,IP,272,102.83,55.37,158.2
Px02720000560_A4315_100094_36,158.2,HC CATH FOLEY TEMPSENSING,OP,272,102.83,55.37,158.2
Px02720000563_A6154_100094_36,148,HC MS  POUCH WOUND/FISTULA BOX 10,IP,272,96.2,51.8,148
Px02720000563_A6154_100094_36,148,HC MS  POUCH WOUND/FISTULA BOX 10,OP,272,96.2,51.8,148
Px02720000565_A4314_100094_36,172.4,HC MS TRAY CATH FOLEY TEMPSENSING 18 FR,IP,272,112.06,60.34,172.4
Px02720000565_A4314_100094_36,172.4,HC MS TRAY CATH FOLEY TEMPSENSING 18 FR,OP,272,112.06,60.34,172.4
Px02720000566_A4315_100094_36,158.2,HC MS TRAY CATH FOLEY TEMPSENSING 8 FR 10 FR LF,IP,272,102.83,55.37,158.2
Px02720000566_A4315_100094_36,158.2,HC MS TRAY CATH FOLEY TEMPSENSING 8 FR 10 FR LF,OP,272,102.83,55.37,158.2
Px02720000567_A4312_100094_36,218.9,HC MS TRAY CATH FOLEY TEMPSENSING 14 FR 16 FR LF,IP,272,142.29,76.61,218.9
Px02720000567_A4312_100094_36,218.9,HC MS TRAY CATH FOLEY TEMPSENSING 14 FR 16 FR LF,OP,272,142.29,76.61,218.9
Px02720000568_00000_100094_36,223,HC MS DRESSING EMERGENCY QUICKCLOT 3X4YD,IP,272,144.95,78.05,223
Px02720000568_00000_100094_36,223,HC MS DRESSING EMERGENCY QUICKCLOT 3X4YD,OP,272,144.95,78.05,223
Px02720000578_00000_100094_36,3780,HC MS FILTER AQUADEX,IP,272,2457,1323,3780
Px02720000578_00000_100094_36,3780,HC MS FILTER AQUADEX,OP,272,2457,1323,3780
Px02720000582_00000_100094_36,1010.2,HC MS PICO DRESSING NEGATIVE PRESS 4X16 INC,IP,272,656.63,353.57,1010.2
Px02720000582_00000_100094_36,1010.2,HC MS PICO DRESSING NEGATIVE PRESS 4X16 INC,OP,272,656.63,353.57,1010.2
Px02720000583_A4314_100094_36,105.05,HC MS CATH FOLEY W/URINEMETER TRAY 18FR,IP,272,68.28,36.77,105.05
Px02720000583_A4314_100094_36,105.05,HC MS CATH FOLEY W/URINEMETER TRAY 18FR,OP,272,68.28,36.77,105.05
Px02720000585_A4344_100094_36,106,HC MS CATH FOLEY COUDE TRAY,IP,272,68.9,37.1,106
Px02720000585_A4344_100094_36,106,HC MS CATH FOLEY COUDE TRAY,OP,272,68.9,37.1,106
Px02720000586_A4315_100094_36,103.5,HC MS  CATH BARDEX TRAY 16F,IP,272,67.28,36.22,103.5
Px02720000586_A4315_100094_36,103.5,HC MS  CATH BARDEX TRAY 16F,OP,272,67.28,36.22,103.5
Px02720000588_00000_100094_36,1330,HC MS SENSOR FLOTRAC,IP,272,864.5,465.5,1330
Px02720000588_00000_100094_36,1330,HC MS SENSOR FLOTRAC,OP,272,864.5,465.5,1330
Px02720000589_00000_100094_36,507.6,HC MS DRESSING VAC GRANUFOAM XL,IP,272,329.94,177.66,507.6
Px02720000589_00000_100094_36,507.6,HC MS DRESSING VAC GRANUFOAM XL,OP,272,329.94,177.66,507.6
Px02720000590_00000_100094_36,1636.4,HC MS KIT LARYNGECT PULMON,IP,272,1063.66,572.74,1636.4
Px02720000590_00000_100094_36,1636.4,HC MS KIT LARYNGECT PULMON,OP,272,1063.66,572.74,1636.4
Px02720000591_00000_100094_36,177,HC MS DRESSING AQUACEL AG 35 X 12 IN,IP,272,115.05,61.95,177
Px02720000591_00000_100094_36,177,HC MS DRESSING AQUACEL AG 35 X 12 IN,OP,272,115.05,61.95,177
Px02720000592_00000_100094_36,158.9,HC MS DRESSING AQUACEL AG 35 X10 IN,IP,272,103.29,55.62,158.9
Px02720000592_00000_100094_36,158.9,HC MS DRESSING AQUACEL AG 35 X10 IN,OP,272,103.29,55.62,158.9
Px02720000593_00000_100094_36,127.1,HC MS DRESSING AQUACEL AG 35 X 6 IN,IP,272,82.62,44.48,127.1
Px02720000593_00000_100094_36,127.1,HC MS DRESSING AQUACEL AG 35 X 6 IN,OP,272,82.62,44.48,127.1
Px02720000594_00000_100094_36,546.3,HC MS DRESSING VAC VERAFLO MEDIUM,IP,272,355.1,191.2,546.3
Px02720000594_00000_100094_36,546.3,HC MS DRESSING VAC VERAFLO MEDIUM,OP,272,355.1,191.2,546.3
Px02720000595_C1751_100094_36,3862,HC MS KIT QUATTRO CATH 93FR,IP,278,2510.3,1351.7,3862
Px02720000595_C1751_100094_36,3862,HC MS KIT QUATTRO CATH 93FR,OP,278,2510.3,1351.7,3862
Px02720000598_00000_100094_36,562,HC MS FECAL MANAGEMENT SYSTEM FLEXISEAL,IP,272,365.3,196.7,562
Px02720000598_00000_100094_36,562,HC MS FECAL MANAGEMENT SYSTEM FLEXISEAL,OP,272,365.3,196.7,562
Px02720000599_A7048_100094_36,210,HC MS SYS DRAIN PLUEREVAC SINGLE,IP,272,136.5,73.5,210
Px02720000599_A7048_100094_36,210,HC MS SYS DRAIN PLUEREVAC SINGLE,OP,272,136.5,73.5,210
Px02720000600_A7048_100094_36,363,HC MS   SYS DRAIN PLEUREVAC DUAL,IP,272,235.95,127.05,363
Px02720000600_A7048_100094_36,363,HC MS   SYS DRAIN PLEUREVAC DUAL,OP,272,235.95,127.05,363
Px02720000601_A7048_100094_36,412,HC MS DRAIN CHEST MINI EXP,IP,272,267.8,144.2,412
Px02720000601_A7048_100094_36,412,HC MS DRAIN CHEST MINI EXP,OP,272,267.8,144.2,412
Px02720000602_A4314_100094_36,58.3,HC MS CATH FOLEY TRAY 1418FR,IP,272,37.9,20.4,58.3
Px02720000602_A4314_100094_36,58.3,HC MS CATH FOLEY TRAY 1418FR,OP,272,37.9,20.4,58.3
Px02720000603_C1729_100094_36,167,HC MS TRAY THORACENTSIS 758,IP,272,108.55,58.45,167
Px02720000603_C1729_100094_36,167,HC MS TRAY THORACENTSIS 758,OP,272,108.55,58.45,167
Px02720000604_00000_100094_36,319,HC MS TRAY PARACENTESIS W/CALDWELL NEEDLE,IP,272,207.35,111.65,319
Px02720000604_00000_100094_36,319,HC MS TRAY PARACENTESIS W/CALDWELL NEEDLE,OP,272,207.35,111.65,319
Px02720000606_00000_100094_36,245.7,HC MS BIOPSY SET BONE MARROW JAMSHIDI,IP,272,159.71,85.99,245.7
Px02720000606_00000_100094_36,245.7,HC MS BIOPSY SET BONE MARROW JAMSHIDI,OP,272,159.71,85.99,245.7
Px02720000607_00000_100094_36,1168.7,HC MS SET DRAINAGE VENTRICULAR,IP,272,759.66,409.05,1168.7
Px02720000607_00000_100094_36,1168.7,HC MS SET DRAINAGE VENTRICULAR,OP,272,759.66,409.05,1168.7
Px02720000609_00000_100094_36,185.7,HC MS DRAIN EXTERNAL VENTRICULAR,IP,272,120.71,64.99,185.7
Px02720000609_00000_100094_36,185.7,HC MS DRAIN EXTERNAL VENTRICULAR,OP,272,120.71,64.99,185.7
Px02720000613_C1729_100094_36,548,HC MS KIT  DRAIN PERCUTANEOUS CAVITY,IP,278,356.2,191.8,548
Px02720000613_C1729_100094_36,548,HC MS KIT  DRAIN PERCUTANEOUS CAVITY,OP,278,356.2,191.8,548
Px02720000615_00000_100094_36,178.2,HC MS WRAP COLD TOE/KNEE,IP,272,115.83,62.37,178.2
Px02720000615_00000_100094_36,178.2,HC MS WRAP COLD TOE/KNEE,OP,272,115.83,62.37,178.2
Px02720000616_00000_100094_36,213.7,HC MS DRESSING VAC SIMPLACE MED,IP,272,138.91,74.79,213.7
Px02720000616_00000_100094_36,213.7,HC MS DRESSING VAC SIMPLACE MED,OP,272,138.91,74.79,213.7
Px02720000617_00000_100094_36,245.6,HC MS DRESSING VAC SIMPLACE LRG,IP,272,159.64,85.96,245.6
Px02720000617_00000_100094_36,245.6,HC MS DRESSING VAC SIMPLACE LRG,OP,272,159.64,85.96,245.6
Px02720000618_A6550_100094_36,194,HC MS DRESSING VAC SIMPLACE SM,IP,272,126.1,67.9,194
Px02720000618_A6550_100094_36,194,HC MS DRESSING VAC SIMPLACE SM,OP,272,126.1,67.9,194
Px02720000620_00000_100094_36,316.3,HC MS  DRESSING SAFEGUARD 24CM,IP,272,205.6,110.7,316.3
Px02720000620_00000_100094_36,316.3,HC MS  DRESSING SAFEGUARD 24CM,OP,272,205.6,110.7,316.3
Px02720000622_C1751_100094_36,110,HC MS  KIT LINE ART 20 GA X 5 IN,IP,278,71.5,38.5,110
Px02720000622_C1751_100094_36,110,HC MS  KIT LINE ART 20 GA X 5 IN,OP,278,71.5,38.5,110
Px02720000625_00000_100094_36,1120.54,HC MS DEVICE COMPRESSION  FEMOSTOP,IP,272,728.35,392.19,1120.54
Px02720000625_00000_100094_36,1120.54,HC MS DEVICE COMPRESSION  FEMOSTOP,OP,272,728.35,392.19,1120.54
Px02720000626_00000_100094_36,245.5,HC MS SURGICEL 2X14IN,IP,272,159.58,85.92,245.5
Px02720000626_00000_100094_36,245.5,HC MS SURGICEL 2X14IN,OP,272,159.58,85.92,245.5
Px02720000628_A6207_100094_36,79,HC CONTACT LAYER 16 48 SQ IN,IP,272,51.35,27.65,79
Px02720000628_A6207_100094_36,79,HC CONTACT LAYER 16 48 SQ IN,OP,272,51.35,27.65,79
Px02720000634_00000_100094_36,262.5,HC MS FLUCH PROVOX VOICE,IP,272,170.63,91.88,262.5
Px02720000634_00000_100094_36,262.5,HC MS FLUCH PROVOX VOICE,OP,272,170.63,91.88,262.5
Px02720000636_A7048_100094_36,237.5,HC MS DRAIN PLEUREVAC INFANT,IP,272,154.38,83.13,237.5
Px02720000636_A7048_100094_36,237.5,HC MS DRAIN PLEUREVAC INFANT,OP,272,154.38,83.13,237.5
Px02720000668_00000_100094_36,245.6,HC DRESSING VAC,IP,272,159.64,85.96,245.6
Px02720000668_00000_100094_36,245.6,HC DRESSING VAC,OP,272,159.64,85.96,245.6
Px02720000675_A4623_100094_36,395,HC CANN TRACH INNER UNIPERC 7MM8MM,IP,272,256.75,138.25,395
Px02720000675_A4623_100094_36,395,HC CANN TRACH INNER UNIPERC 7MM8MM,OP,272,256.75,138.25,395
Px02720000676_00000_100094_36,110,HC MS POUCH FISTUAL 43X 30 BOX 10,IP,272,71.5,38.5,110
Px02720000676_00000_100094_36,110,HC MS POUCH FISTUAL 43X 30 BOX 10,OP,272,71.5,38.5,110
Px02720000702_00000_100094_36,258,HC MS DRESSING ANTIMIC SILVER 4X48,IP,272,167.7,90.3,258
Px02720000702_00000_100094_36,258,HC MS DRESSING ANTIMIC SILVER 4X48,OP,272,167.7,90.3,258
Px02720000703_A4722_100094_36,88,HC MS DIALYSIS SOL W/DEX 25PERCENT 2L,IP,272,57.2,30.8,88
Px02720000703_A4722_100094_36,88,HC MS DIALYSIS SOL W/DEX 25PERCENT 2L,OP,272,57.2,30.8,88
Px02720000704_A4723_100094_36,88,HC MS DIALYSIS SOL W/DEX 15PERCENT 3L,IP,272,57.2,30.8,88
Px02720000704_A4723_100094_36,88,HC MS DIALYSIS SOL W/DEX 15PERCENT 3L,OP,272,57.2,30.8,88
Px02720000705_A4723_100094_36,88,HC MS DIALYSIS SOL W/DEX 25PERCENT 3L,IP,272,57.2,30.8,88
Px02720000705_A4723_100094_36,88,HC MS DIALYSIS SOL W/DEX 25PERCENT 3L,OP,272,57.2,30.8,88
